time;x;y;z;w;velocidad;voltaje;trama
16:05:45:901;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:001;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:102;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:202;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:301;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:401;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:502;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:601;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:702;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:801;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:46:902;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:002;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:101;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:201;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:302;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:402;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:501;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:609;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:702;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:801;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:47:902;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:002;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:102;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:202;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:301;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:402;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:501;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:602;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:701;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:801;14253;4832;4549;5702;3F;8.01;a3Fb3Fc3Fd3F
16:05:48:902;14194;4780;4480;5674;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:002;14052;4671;4319;5625;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:102;13865;4538;4123;5570;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:201;13656;4397;3915;5504;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:301;13435;4252;3697;5431;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:401;13210;4104;3473;5350;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:501;12981;3956;3250;5262;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:602;12751;3809;3028;5162;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:702;12519;3661;2811;5051;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:801;12286;3514;2597;4926;3F;8.01;a3Fb3Fc3Fd3F
16:05:49:901;12054;3365;2389;4794;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:002;11823;3216;2185;4657;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:102;11592;3067;1989;4516;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:201;11360;2917;1793;4371;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:301;11129;2765;1596;4224;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:402;10898;2613;1401;4075;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:502;10666;2460;1207;3926;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:601;10434;2307;1011;3774;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:701;10201;2154;811;3622;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:802;9966;2001;611;3469;3F;8.01;a3Fb3Fc3Fd3F
16:05:50:901;9732;1847;411;3316;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:001;9497;1693;217;3161;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:101;9261;1540;57;3006;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:207;9025;1385;-21;2846;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:301;8786;1228;-21;2682;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:401;8545;1071;-21;2517;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:502;8305;912;-21;2349;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:601;8064;754;-21;2177;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:702;7824;594;-21;2002;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:801;7582;435;-21;1822;3F;8.01;a3Fb3Fc3Fd3F
16:05:51:901;7336;280;-21;1639;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:001;7091;124;-21;1453;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:101;6848;-26;-21;1267;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:201;6600;-49;-21;1080;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:301;6349;-49;-21;892;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:402;6098;-49;-21;702;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:501;5846;-49;-21;513;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:601;5592;-49;-21;325;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:701;5338;-49;-21;136;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:801;5084;-49;-21;-42;3F;8.01;a3Fb3Fc3Fd3F
16:05:52:901;4827;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:002;4570;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:101;4310;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:201;4050;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:301;3788;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:401;3526;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:501;3264;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:601;3002;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:701;2740;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:801;2477;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:53:901;2215;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:001;1952;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:101;1689;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:202;1426;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:302;1163;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:401;899;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
16:05:54:501;634;-49;-21;-68;3F;8.01;a3Fb3Fc3Fd3F
