time;x;y;z;w;velocidad;voltaje;trama
16:21:44:391;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:401;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:411;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:421;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:431;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:441;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:451;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:461;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:471;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:481;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:491;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:501;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:511;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:521;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:531;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:550;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:552;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:561;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:571;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:581;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:591;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:601;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:611;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:621;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:631;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:641;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:651;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:661;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:671;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:681;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:691;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:715;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:716;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:721;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:731;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:743;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:751;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:761;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:771;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:781;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:791;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:801;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:811;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:821;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:831;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:841;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:851;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:861;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:871;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:881;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:891;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:901;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:911;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:921;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:931;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:941;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:951;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:961;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:971;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:981;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:44:991;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:001;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:011;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:021;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:031;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:041;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:059;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:061;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:071;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:081;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:091;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:101;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:111;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:121;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:131;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:141;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:151;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:161;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:171;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:184;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:191;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:201;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:211;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:221;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:233;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:241;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:251;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:261;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:271;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:281;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:291;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:301;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:311;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:321;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:331;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:341;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:351;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:361;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:371;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:381;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:391;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:401;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:411;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:421;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:431;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:441;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:451;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:461;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:471;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:481;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:491;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:501;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:511;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
16:21:45:521;17016;4884;4242;6002;3F;8.01;a3Fc3Fc3Fd3F
