time;x;y;z;w;velocidad;voltaje
16:24:21:737;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:748;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:767;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:768;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:777;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:787;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:797;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:808;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:818;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:827;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:838;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:848;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:857;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:867;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:877;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:887;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:898;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:907;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:920;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:928;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:937;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:948;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:958;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:971;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:978;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:987;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:21:998;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:007;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:017;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:027;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:037;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:047;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:057;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:067;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:077;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:087;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:097;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:107;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:117;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:127;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:138;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:147;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:157;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:167;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:177;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:187;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:197;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:207;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:217;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:227;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:237;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:247;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:257;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:277;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:277;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:287;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:297;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:307;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:317;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:327;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:337;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:347;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:358;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:367;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:378;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:387;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:397;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:407;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:417;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:427;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:438;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:447;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:457;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:467;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:477;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:487;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:497;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:507;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:518;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:528;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:538;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:548;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:557;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:567;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:577;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:587;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:597;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:607;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:617;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:627;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:637;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:647;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:657;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:667;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:677;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:687;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:697;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:708;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:717;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:727;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:737;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:747;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:757;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:767;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:795;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:797;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:795;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:807;17281;6740;7585;6406;DF;aDFbDFcDFdEF
16:24:22:817;17281;6740;7585;6406;DF;aDFbDFcDFdEF
